article_id,company_id,nbocc,note_haiku,note_gemini,note_llama3,note_mistral,note_queen,justification_haiku,justification_gemini,note_humaine
10390,2,2,1,2,1,1,1,"Airbus est mentionné uniquement dans le contexte du rachat de Spirit AeroSystems par Boeing : 'Boeing a annoncé lundi avoir finalisé le rachat de l'équipementier aéronautique Spirit AeroSystems après avoir cédé des actifs industriels, notamment à Airbus, pour obtenir le feu vert des régulateurs de la concurrence'. Il s'agit d'une simple mention factuelle du fait qu'Airbus a acquis certains actifs de Boeing dans le cadre de cette opération. Aucun fait concret spécifique à Airbus (résultat, contrat, amende, dégradation) n'est identifiable. La variation de cours (+0,3%) est un mouvement de marché non explicité. Absence de fait concret positif ou négatif spécifique à Airbus.","Airbus a reçu 'des actifs industriels' de Boeing dans le cadre de l'acquisition de Spirit AeroSystems, ce qui constitue un gain concret et spécifique pour l'entreprise.",
3973,19,2,1,0,1,1,1,"Sanofi est mentionné une seule fois dans l'article : 'Parmi les lanternes rouges, on trouve aujourd'hui Edenred (-3,4%) et Thales (-2,1%), suivie de près par Sanofi et Eurofins Scientific (-1,3% et -1,1% respectivement)'. Il s'agit d'une simple citation factuelle du mouvement de cours (-1,3%) dans un contexte de marché global, sans information spécifique à l'entreprise (pas de résultats, pas de contrat, pas d'annonce opérationnelle). C'est un mouvement de marché général sans catalyseur concret identifié pour Sanofi.","L'article mentionne que Sanofi fait partie des 'lanternes rouges' avec une baisse de '-1,3%', ce qui constitue un fait concret et spécifique de mauvaise nouvelle pour l'entreprise.",
9106,18,2,1,0,0,1,0,"SAFRAN est mentionné une seule fois dans l'article : 'L'indice parisien subit en outre les replis de Bureau Veritas (-2,9% après une dégradation de broker) ou encore des valeurs de la défense à l'instar de Thales et Safran (respectivement -2,6% et -1,4%)'. Cette mention rapporte uniquement un mouvement de cours (-1,4%) dans un contexte de repli général du marché et des valeurs de défense. Aucun fait concret spécifique à SAFRAN (contrat, résultat, dégradation d'analyste propre à l'entreprise, problème opérationnel) n'est identifié. Il s'agit d'une simple citation factuelle sans information substantielle sur l'entreprise elle-même.","La phrase mentionne un repli de l'action Safran de -1,4%, ce qui est un fait concret et spécifique négatif.",
2781,12,4,1,2,1,1,2,"Schneider Electric est mentionné deux fois : (1) 'Schneider Electric (-3,7%)' dans le contexte d'une baisse générale du CAC40 — simple mouvement de cours sans explication spécifique ; (2) 'Schneider Electric affiche un chiffre d'affaires du 3e trimestre 2025 en croissance de 4,4% à 9,72 milliards d'euros en données publiées (+9% en organique). La société confirme son objectif 2025 d'une croissance organique de l'EBITA ajusté entre +10% et +15%'. Ces faits sont objectivement positifs (croissance CA, confirmation d'objectifs ambitieux), MAIS ils sont immédiatement contredits par la baisse de -3,7% du titre le même jour. Les signaux positifs (résultats solides, objectifs confirmés) et négatif (cours en baisse) s'annulent exactement, rendant impossible une conclusion univoque. Absence de contexte explicatif de la déconnexion entre les bonnes données et la baisse du cours.","L'article indique que Schneider Electric affiche un chiffre d'affaires du 3e trimestre 2025 en croissance de 4,4% à 9,72 milliards d'euros en données publiées (+9% en organique). De plus, la société confirme son objectif 2025 d'une croissance organique de l'EBITA ajusté entre +10% et +15%, et d'une croissance organique de son chiffre d'affaires entre +7% et +10%. Ces éléments constituent des faits concrets et spécifiques de bonne nouvelle concernant la performance et les perspectives de l'entreprise. Bien que le titre ait baissé de -3,7% ce matin, les résultats financiers et les objectifs confirmés sont des indicateurs positifs fondamentaux qui l'emportent sur le mouvement de marché ponctuel.",
5762,15,2,1,2,2,1,1,"TotalEnergies est mentionné uniquement comme faisant partie du mouvement de marché général du CAC 40 : 'Seuls TotalEnergies et L'Oréal sont orientés à la hausse, avec des gains limités de respectivement 0,4% et 0,1%.' Il s'agit d'une simple citation factuelle du cours boursier dans un contexte de consolidation générale de l'indice, sans aucune information spécifique à l'entreprise (résultats, contrats, annonces, analyses). Le gain de 0,4% est un mouvement de marché général, non un fait concret positif propre à TotalEnergies.","TotalEnergies est mentionné comme étant orienté à la hausse avec un gain de 0,4%, ce qui est un fait concret et positif, d'autant plus que la majorité des autres valeurs de l'indice sont en baisse.",
15530,26,2,1,2,2,1,2,"Dassault Aviation est mentionnée une seule fois dans l'article : 'malgré les envolées des valeurs de la défense (Eurofins Scientific 6,7%, Thales 3,5%, Dassault Aviation 3%)'. Il s'agit d'une simple citation factuelle du mouvement de cours (+3%) dans un contexte de marché général. Aucun fait concret spécifique à Dassault Aviation n'est fourni (pas de contrat, pas de résultat, pas d'annonce d'analyste). La hausse du cours est présentée comme faisant partie d'une tendance sectorielle générale des valeurs de défense, sans information particulière sur l'entreprise elle-même.","L'article mentionne que 'Dassault Aviation 3%', indiquant une hausse de 3% du cours de l'action, ce qui est un fait concret et positif spécifique à l'entreprise.",
6739,19,2,1,0,1,1,1,"Sanofi est mentionné une seule fois dans l'article : 'Le CAC reste pénalisé par Kering -3,4%, Thalès -2,1%, Sanofi et Engie -1,5%'. Il s'agit d'une simple citation factuelle du mouvement de cours (-1,5%) dans un contexte de marché global, sans aucune information spécifique à l'entreprise (pas de résultat, pas de contrat, pas d'annonce, pas de décision d'analyste). C'est un mouvement de marché général listant plusieurs valeurs du CAC40 en baisse.","La phrase indique que 'Sanofi et Engie -1,5%', ce qui constitue un fait concret et spécifique d'une baisse de la valeur de l'action Sanofi, une mauvaise nouvelle.",
7164,24,5,1,0,0,1,1,"Thales est mentionné factuellement comme reculant de 2,7% et accusant un des plus forts replis du CAC 40. Cependant, ce mouvement de cours est une conséquence directe d'un contexte géopolitique général (négociations de paix en Ukraine) affectant l'ensemble du secteur de la défense européenne (-2,7% pour l'indice STOXX). Aucun fait concret spécifique à Thales (contrat, résultat, dégradation d'analyste, amende) n'est identifié. La baisse est un mouvement de marché sectoriel, non une nouvelle spécifique à l'entreprise.","L'article mentionne spécifiquement que 'Thales recule de 2,7%, accusant un des plus forts replis du CAC 40', ce qui constitue un fait concret et négatif concernant la performance boursière de l'entreprise.",
16716,3,4,1,2,2,1,2,"L'article mentionne plusieurs faits concrets sur Alstom en Espagne (7316 emplois générés, 400M€ de contribution au PIB, 530M€ d'achats auprès de fournisseurs locaux, investissements en numérisation et énergie solaire). Cependant, ces informations sont de nature descriptive et contextuelle (impact économique, présence locale) plutôt que des nouvelles concrètes positives ou négatives au sens financier strict (pas de hausse/baisse de résultats, pas de contrat gagné/perdu, pas de relèvement/abaissement d'objectifs, pas de dégradation). Le mouvement du titre (-0,16% aujourd'hui) est un simple mouvement de marché sans lien causal établi. L'absence de fait concret positif ou négatif spécifique justifie une notation NEUTRAL.","Alstom a généré 7316 emplois en Espagne lors du dernier exercice, dont 2917 postes directs, pour une contribution totale de 400 millions d'euros au PIB national. Le groupe a également réalisé des achats s'élevant à 530 millions d'euros auprès de près de 1000 fournisseurs locaux et a accru ses investissements dans la numérisation et la transition énergétique pour son site de Santa Perpètua.",
27598,13,2,1,2,2,1,1,"Soitec est mentionné avec une hausse de cours de 16%, mais l'article précise explicitement que 'les raisons restent encore assez mystérieuses' et attribue cette performance à une hypothèse spéculative (publication sur X d'un compte avec 100k abonnés annonçant une 'position importante'). Il n'existe aucun fait concret positif ou négatif spécifique à Soitec (pas d'annonce de résultats, contrat, objectif, ou événement d'entreprise). Le mouvement de cours est purement spéculatif et non fondé sur une information concrète relative à l'entreprise.","La phrase indique que 'Soitec qui grimpe de plus de 16%', ce qui constitue un fait concret et spécifique de hausse de la valeur du titre, une bonne nouvelle pour l'entreprise.",
4375,6,2,1,0,0,1,1,"Bureau Veritas est mentionné une seule fois dans l'article : 'La Bourse de Paris lâche 0,1%, à 7955 points, notamment freinée par Bureau Veritas, Edenred ou encore Veolia (qui cèdent environ 1,7% chacun).' Il s'agit d'une simple citation factuelle du mouvement de cours (-1,7%) dans un contexte de baisse générale du marché. Aucun fait concret spécifique à Bureau Veritas (résultats, contrat, amende, dégradation d'analyste, etc.) n'est fourni. La baisse est attribuée au contexte macroéconomique général (décrochage de Wall Street, questionnements sur la Fed), non à une information propre à l'entreprise.","La phrase identifiée indique que Bureau Veritas est 'freinée' et 'cède environ 1,7%', ce qui constitue un fait concret et spécifique de baisse de la valeur de l'action.",
25351,34,3,1,0,2,1,1,"ENGIE a annoncé le lancement d'une augmentation de capital de 3 milliards d'euros pour financer l'acquisition de UK Power Networks. Il s'agit d'un fait concret spécifique à ENGIE, mais il n'est ni intrinsèquement positif ni négatif : une augmentation de capital est une action stratégique neutre en soi. L'acquisition elle-même pourrait être positive, mais le texte ne fournit aucune information sur sa valeur, ses synergies attendues, ou son impact financier. C'est une simple annonce factuelle sans évaluation de bonne ou mauvaise nouvelle.","Le groupe a annoncé le 'lancement d'une augmentation de capital d'environ 3 milliards d'euros, avec suppression du droit préférentiel de souscription des actionnaires'. Cette suppression implique une dilution pour les actionnaires existants, ce qui constitue un fait concret négatif.",
22367,27,9,1,2,2,1,2,"L'article contient plusieurs faits concrets sur EssilorLuxottica, mais ils se compensent exactement : (1) POSITIF : chiffre d'affaires en hausse de 11,2% à taux de change constants, accélération au Q4 (18,4%), ventes de lunettes IA à 7M+ d'unités, cash-flow libre record de 2,8Md€, dépassement des attentes sur le CA et le résultat opérationnel ajusté, augmentation du dividende. (2) NÉGATIF : bénéfice net en repli de 1,9%, marge opérationnelle ajustée en baisse de 70 points de base due aux droits de douane américains et à la concurrence des lunettes IA. Les signaux positifs (croissance, cash-flow, dépassement des consensus) et négatifs (baisse du bénéfice net, compression des marges) s'annulent, justifiant une notation NEUTRAL.","Le groupe a dégagé un cash-flow libre record de 2,8 milliards d'euros, en hausse de 400 millions d'euros par rapport à l'année précédente. De plus, les ventes du quatrième trimestre ont progressé de 18,4% à taux de change constants, dépassant nettement la croissance de 10,7% attendue par le consensus FactSet.",
19940,12,2,1,2,2,1,2,"Schneider Electric est mentionné une seule fois : 'malgré les bonnes performances de Schneider Electric (2,57%)'. Il s'agit d'une simple citation du mouvement de cours boursier (+2,57%) sans aucun fait concret spécifique à l'entreprise (pas de résultats publiés, pas de contrat, pas d'annonce stratégique). Le ton est positif mais il n'existe aucun fondamental concret justifiant cette hausse. C'est un mouvement de marché factuel sans information substantielle sur Schneider Electric.","L'article mentionne 'les bonnes performances de Schneider Electric ( 2,57%)', indiquant une hausse concrète et spécifique de 2,57% du cours de l'action, ce qui est un fait positif.",
17257,5,7,1,2,2,1,1,"L'article mentionne 'Bnp Paribas' dans un tableau listant les valeurs ayant atteint leur plus haut niveau sur 5 ans (cours de 87,88€, variation +99,68%). Cependant, il s'agit d'une simple citation factuelle dans un tableau de données de marché sans aucun fait concret spécifique à BNP PARIBAS ACT.A (pas d'annonce de résultats, de contrat, de décision stratégique, etc.). Le contexte est purement informatif et statistique. Aucun élément positif ou négatif spécifique à l'entreprise n'est identifiable au-delà du mouvement de cours.","L'article indique que 'Bnp Paribas' a atteint son 'plus haut niveau de valorisation sur une période de 5 ans' avec une 'Variation sur 5 ans' de 99,68%, ce qui est un fait concret et positif.",
7118,21,8,1,2,2,1,2,"Capgemini est mentionné une seule fois dans l'article : 'tirée par Capgemini (+3,5%)'. Cette mention rapporte uniquement une hausse de cours de +3,5% sans aucun fait concret spécifique à l'entreprise (pas de résultat, contrat, objectif, ou note d'analyste). Il s'agit d'un simple mouvement de marché/cotation sans information fondamentale. Aucun fait concret positif ou négatif n'est identifiable pour Capgemini.","L'article mentionne que la Bourse de Paris a été 'tirée par Capgemini (+3,5%)', indiquant une hausse concrète et spécifique de 3,5% du cours de l'action de l'entreprise.",
14565,5,4,1,2,1,1,1,"BNP Paribas est mentionné une seule fois dans l'article : 'les valeurs bancaires comme Société générale (+1,79%), BNP Paribas (+1,32%) et Crédit Agricole (+1,14%) sont en tête du CAC 40.' Il s'agit d'une simple citation factuelle du mouvement de cours (+1,32%) dans un contexte de hausse générale du secteur bancaire européen. Aucun fait concret spécifique à BNP Paribas (résultat, contrat, amende, dégradation, etc.) n'est mentionné. La hausse est attribuée au secteur bancaire dans son ensemble, non à une action particulière de l'entreprise.","Le fait concret positif est que 'BNP Paribas (+1,32%)' est mentionné comme étant en hausse et 'en tête du CAC 40', ce qui est une bonne nouvelle spécifique à l'entreprise.",
7919,28,2,1,2,2,2,2,"Saint-Gobain est mentionné une seule fois dans l'article : 'avec le soutien de Saint-Gobain (+4,2%)'. Il s'agit d'une simple citation factuelle du mouvement de cours de l'action (+4,2%) dans le contexte d'une hausse générale du CAC 40. Aucun fait concret spécifique à Saint-Gobain n'est fourni (pas d'annonce de résultats, de contrat, de changement de note d'analyste, ou d'événement corporate). La mention relève uniquement du mouvement de marché général sans information substantielle sur l'entreprise elle-même.","L'article mentionne que l'indice parisien a été soutenu par 'Saint-Gobain (+4,2%)', ce qui est un fait concret et spécifique de hausse de la valeur de l'action, constituant une bonne nouvelle.",
16007,13,6,1,0,2,1,1,"L'article mentionne Soitec Silicon uniquement dans un contexte de volumes d'échanges anormaux (+153% par rapport aux 5 séances précédentes). Il s'agit d'une observation purement technique/statistique de marché sans aucun fait concret positif ou négatif spécifique à l'entreprise (pas de résultat, contrat, amende, dégradation, etc.). La variation de cours du jour (-0,69%) est un simple mouvement de marché non explicité. Aucune information fondamentale n'est fournie.","L'article mentionne un fait concret négatif pour SOITEC : 'Variation jour -0,69%', indiquant une baisse du cours de l'action sur la journée.",
26344,2,2,1,0,0,2,1,"L'article mentionne Airbus uniquement dans le contexte du programme SCAF (Système de combat aérien du futur), où le PDG de Dassault Aviation critique Airbus pour ne pas respecter l'équation du programme et l'accuse de ne pas vouloir travailler avec Dassault. Cependant, aucun fait concret spécifique à Airbus n'est identifié : pas de chiffres financiers, pas de contrat perdu, pas de dégradation de note d'analyste, pas d'amende ou de procès contre Airbus. Il s'agit uniquement de déclarations conflictuelles entre deux dirigeants concernant un programme en arrêt. L'absence de faits concrets négatifs ou positifs spécifiques à Airbus justifie une notation NEUTRAL.","Le programme SCAF, dans lequel Airbus est impliqué, « semble désormais totalement à l'arrêt (sinon enterré) en raison des bisbilles entre les deux industriels », et le PDG de Dassault Aviation accuse directement Airbus de ne pas respecter l'équation du début et de ne pas vouloir travailler, le qualifiant d'« agressif » et d'« arrogant ». Il s'agit d'un fait concret négatif concernant l'échec d'un programme stratégique majeur et la détérioration des relations avec un partenaire clé.",
7881,15,2,1,2,2,1,2,"TotalEnergies est mentionnée avec un fait concret : 'sa filiale TotalEnergies EP Nigeria a finalisé la cession de sa participation non opérée de 12,5% dans le contrat de partage de production OML118 pour un montant total de 510 millions USD.' Cependant, ce fait est neutre : il s'agit d'une cession d'actif (désinvestissement) sans contexte évaluatif clair. Aucun élément du texte ne qualifie cette transaction comme positive (amélioration stratégique, prix favorable) ou négative (perte, dégradation). C'est une simple annonce factuelle de restructuration de portefeuille sans signal concret positif ou négatif spécifique à la performance ou la situation de TotalEnergies.","TotalEnergies annonce que sa filiale TotalEnergies EP Nigeria a finalisé la cession de sa participation non opérée de 12,5% dans le contrat de partage de production OML118... pour un montant total de 510 millions USD. Il s'agit d'un fait concret et spécifique à TotalEnergies, représentant un apport de trésorerie significatif.",
8319,5,4,1,2,2,1,1,"BNP Paribas est mentionné une seule fois dans l'article : 'aidée par Pernod Ricard (+2,4%) et BNP Paribas (+1,4%)'. Il s'agit d'une simple citation factuelle du mouvement de cours (+1,4%) dans un contexte de marché général (évolution du CAC40). Aucun fait concret spécifique à BNP Paribas ACT.A n'est identifié (pas de résultat, contrat, amende, dégradation, relèvement d'objectif, etc.). La mention est purement descriptive du mouvement de marché du jour, sans information fondamentale positive ou négative propre à l'entreprise.","L'article mentionne que 'BNP Paribas (+1,4%)' a aidé la Bourse de Paris, ce qui constitue un fait concret et spécifique de hausse du cours de l'action pour BNP Paribas.",
15035,18,2,1,2,2,1,1,"Safran est mentionné une seule fois dans l'article : 'L'indice parisien s'arroge 0,7%, vers 8.205 points, soutenu par STMicro ( 4%), Airbus ( 2,5%) ou encore Safran ( 3%).' Il s'agit d'une simple citation du mouvement de cours (+3%) dans un contexte de hausse générale du CAC40. Aucun fait concret spécifique à Safran n'est fourni (pas de contrat, pas de résultat, pas d'annonce d'entreprise). La mention est purement factuelle et reflète un mouvement de marché général sans information substantielle sur l'entreprise elle-même.","La phrase indique que l'indice parisien est 'soutenu par... Safran ( 3%)', ce qui est un fait concret et spécifique d'une hausse de 3% du cours de l'action Safran, constituant une bonne nouvelle.",
15694,27,4,1,0,2,1,2,"EssilorLuxottica est mentionnée avec un rebond de 5,2% et une hausse de cours positive. Cependant, l'article présente simultanément des faits concrets négatifs spécifiques : (1) report du lancement mondial des lunettes Ray-Ban en Europe, (2) Meta limite intentionnellement les ventes en raison de contraintes d'approvisionnement, (3) les lunettes connectées sont vendues à perte selon des spécialistes du secteur. Ces signaux positifs (hausse de cours) et négatifs (problèmes opérationnels et commerciaux concrets) s'annulent exactement, justifiant une notation NEUTRAL.","Bien qu'EssilorLuxottica ait vu son cours de bourse s'arroger 5,2%, l'article mentionne plusieurs faits concrets négatifs et spécifiques à l'entreprise concernant les lunettes connectées Ray-Ban : un ""report du lancement mondial sur le Vieux Continent"", des ""contraintes d'approvisionnement"" qui limitent les ventes, et surtout que ""l'entreprise vend ces lunettes connectées à perte"". Ces faits concrets négatifs, notamment la vente à perte, ne sont pas annulés par la hausse du cours de bourse, qui est présentée comme une réaction à un 'engouement' immédiatement nuancé par ces problèmes opérationnels et de rentabilité.",
4975,21,4,1,2,1,1,2,"Capgemini est mentionné uniquement dans le contexte d'un mouvement de marché général : '+3,2% pour Capgemini' dans la liste des valeurs du CAC 40 en hausse. Cette mention est purement factuelle et liée à la dynamique boursière du jour (optimisme sur la fin du shutdown américain), sans aucun fait concret spécifique à Capgemini (pas de résultat, contrat, objectif, ou événement d'entreprise). Il s'agit d'une citation dans un mouvement de marché global, sans information substantielle sur l'entreprise elle-même.","La phrase indique un gain de +3,2% pour Capgemini, ce qui est un fait concret et spécifique de performance positive pour l'entreprise.",
7719,24,4,1,2,2,1,1,"Deux mentions de Thales identifiées : (1) baisse de -1,5% du cours, présentée comme conséquence d'un mouvement sectorialisé de défense lié à l'esquisse d'un plan de paix ukrainien (facteur externe, non spécifique à Thales) ; (2) annonce d'un partenariat stratégique pour la modernisation de trois porte-hélicoptères amphibies de la Marine nationale française. Le partenariat est un fait concret, mais il est présenté de manière factuelle neutre sans qualification positive (pas de hausse de résultat, pas de relèvement d'objectif, pas de note d'analyste améliorée). La baisse de cours est expliquée par des facteurs macroéconomiques externes (contexte géopolitique) plutôt que par une mauvaise nouvelle spécifique à l'entreprise. Les signaux positifs (contrat) et négatifs (baisse de cours due à des facteurs externes) s'annulent, justifiant une notation NEUTRAL.","Thales annonce un partenariat stratégique avec CNN MCO, entité d'Equans France, et CS Group, filiale de Sopra Steria, pour la modernisation de trois porte-hélicoptères amphibies (PHA) de la Marine nationale française. Il s'agit d'un fait concret et spécifique à THALES qui est une bonne nouvelle (contrat gagné/partenariat stratégique).",
