article_id,company_id,strate,nbocc,note_haiku,note_gemini,note_llama3,note_mistral,note_queen,mistral_variation,mistral_autre_fait,mistral_reco,justification_haiku,justification_mistral,note_humaine,commentaire
7919,28,regle_avec_consensus,2,1,1,2,1,1.0,,False,aucune,"Saint-Gobain est mentionné uniquement pour sa variation de cours (+4,2%) dans le contexte d'une hausse générale du CAC 40. Aucun fait concret spécifique à l'activité, aux résultats, aux contrats ou à toute autre information opérationnelle de Saint-Gobain n'est fourni. La mention est purement factuelle de mouvement de marché sans information substantielle sur l'entreprise elle-même.",L'article ne contient pas d'informations spécifiques sur Saint-Gobain,,
2707,3,regle_contre_consensus,8,2,2,2,1,2.0,,False,aucune,"L'article contient plusieurs faits concrets positifs spécifiques à ALSTOM : (1) annonce d'un contrat de 30 rames Avelia Horizon pour Eurostar d'environ 1,4 milliard d'euros avec options jusqu'à 20 unités ; (2) confirmation des objectifs financiers 2025-26 (croissance organique 3-5%, marge d'exploitation 7%, free cash-flow 200-400M€) ; (3) commandes du T2 ayant dépassé les attentes de 8%. Ces éléments constituent des bonnes nouvelles concrètes et spécifiques justifiant une note POSITIVE.","Le constructeur ferroviaire Alstom a annoncé une commande supplémentaire de 30 rames à très grande vitesse pour un montant d’environ 1,4 milliard d’euros, avec des options jusqu’à 20 unités. Cette signature renforce la visibilité commerciale du groupe dans un marché européen de la grande vitesse en mutation.",,
2780,12,regle_contre_consensus,2,2,2,2,1,2.0,,False,aucune,"Schneider Electric affiche des faits concrets positifs : chiffre d'affaires du T3 2025 en croissance de 4,4% à 9,72 Mds€ (9% en organique), et confirmation de ses objectifs 2025 ambitieux (croissance organique EBITA ajusté +10% à +15%, marge EBITA ajusté 18,7%-19%). Ces éléments constituent des bonnes nouvelles spécifiques à l'entreprise.",L'article ne contient pas de faits concrets spécifiques à Schneider Electric,,
3774,34,regle_avec_consensus,2,1,1,2,1,1.0,,False,aucune,"ENGIE est mentionné uniquement comme une valeur en hausse de +0,9% dans un contexte de mouvement de marché général du CAC40. Aucun fait concret spécifique à l'activité, aux résultats, aux contrats ou à toute autre information opérationnelle d'ENGIE n'est fourni. La mention est purement factuelle et contextuelle (liste des valeurs du jour), sans élément positif ou négatif substantiel.",L'article ne contient pas d'informations spécifiques sur ENGIE,,
9112,6,modele_contre_consensus,4,0,0,0,1,0.0,-2.3,False,degradee,"Fait concret négatif spécifique à Bureau Veritas : abaissement de recommandation des analystes de RBC de 'performance en ligne avec le secteur' à 'sous-performance', avec objectif de cours réduit de 28,5 à 26,5 EUR. Ceci constitue une dégradation d'analyste, qui est une mauvaise nouvelle concrète.","L'article mentionne une baisse de l'action Bureau Veritas de 2,3% après une dégradation de recommandation d'un broker. Il n'y a pas de fait concret positif identifiable pour Bureau Veritas.",,
4126,20,regle_contre_consensus,3,2,2,2,1,2.0,,False,aucune,"L'article contient plusieurs faits concrets positifs spécifiques à Delta Plus Group : (1) renoue avec la croissance au T3 2025 avec un CA de 96,7M€ (+3,3% YoY), (2) +2% à périmètre et taux de change constants, (3) confirmation de l'objectif 2025 d'un retrait limité du CA, (4) maintien de la marge brute et préservation de la solidité financière. Ces éléments constituent une bonne nouvelle concrète pour l'entreprise.","Le chiffre d'affaires consolidé de Delta Plus Group a augmenté de 3,3% au troisième trimestre 2025 par rapport à la même période en 2024.",,
20132,7,regle_contre_consensus,2,0,0,0,1,0.0,,False,aucune,"Carrefour a enregistré une baisse de 0,5% et a été sanctionné par une dégradation de la recommandation de Jefferies, passant d'acheter à conserver, avec un objectif de cours réduit de 14,50 à 14 euros. Il s'agit de deux faits concrets négatifs spécifiques à Carrefour : une dégradation de recommandation d'analyste et une réduction d'objectif de cours.",L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à Carrefour.,,
21474,21,regle_avec_consensus,8,1,1,1,1,0.0,,False,aucune,"L'article mentionne que Capgemini a 'fortement reculé' cette semaine en raison des craintes liées à l'IA et à la cannibalisation des modèles économiques du SaaS. C'est un fait concret négatif spécifique à Capgemini : une baisse de cours motivée par des préoccupations sectorielles affectant son modèle économique. Bien que le pourcentage exact ne soit pas donné, la mention explicite d'une forte baisse est un signal négatif.",L'article ne contient pas d'informations spécifiques sur Capgemini,,
7879,24,regle_contre_consensus,4,2,2,2,1,2.0,,False,aucune,"Thales a signé un partenariat stratégique concret avec Dassault Aviation pour développer une IA souveraine dédiée au combat aérien. Cet accord, signé le 18 novembre par les dirigeants respectifs, constitue un fait positif spécifique à Thales : un nouveau partenariat stratégique avec un acteur majeur de l'aéronautique de défense, mobilisant l'expertise technologique de Thales et ouvrant des perspectives de programmes de recherche et d'innovation.",L'article mentionne Thales mais ne contient pas de faits concrets spécifiques à l'entreprise,,
27440,14,modele_contre_consensus,3,2,2,2,1,2.0,,False,amelioree,"STMicroelectronics bénéficie d'un fait concret positif spécifique : Deutsche Bank rehausse son objectif de cours de 28 euros à 32 euros et maintient sa recommandation à l'achat. C'est une amélioration de la cible de cours (+14,3%) avec confirmation du conseil positif.",L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à STMicroelectronics.,,
6522,2,regle_contre_consensus,2,2,2,2,1,2.0,,False,aucune,"L'article mentionne plusieurs commandes concrètes et spécifiques à Airbus : Etihad Airways achète six A330-900, flydubai signe un protocole pour 150 A321neo, et Airbus Helicopters signe un contrat avec le Maroc pour dix H225M. Ces sont des faits concrets positifs (nouvelles commandes) spécifiques à l'activité d'Airbus, constituant une bonne nouvelle.",L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à Airbus.,,
21439,21,regle_contre_consensus,8,2,2,1,1,1.0,,False,aucune,"L'article annonce un fait concret et spécifique à Capgemini : l'extension de son partenariat stratégique avec Google Cloud pour accompagner les clients dans l'adoption des technologies d'IA (Vertex AI et Gemini Enterprise). Il s'agit d'une bonne nouvelle pour l'entreprise, représentant une opportunité commerciale et un renforcement de sa position dans l'écosystème cloud et IA.",L'article mentionne Capgemini mais ne contient pas de fait concret spécifique à l'entreprise,,
21289,5,regle_contre_consensus,4,2,2,2,1,2.0,,False,aucune,"BNP Paribas a publié des résultats trimestriels jugés rassurants, ce qui constitue un fait concret positif spécifique à l'entreprise. L'action gagne 4,9%, reflétant cette bonne nouvelle.","BNP Paribas gagne 4,9% après des résultats trimestriels jugés rassurants.",,
7720,18,regle_avec_consensus,2,1,1,1,1,1.0,,False,aucune,"Safran est mentionné comme étant freiné par un plan de paix qui s'esquisse autour du dossier ukrainien. Cette perspective de réduction des tensions géopolitiques est une mauvaise nouvelle concrète pour une valeur de défense comme Safran, qui bénéficie habituellement des tensions et des dépenses militaires accrues. Le recul de -1,6% du cours reflète cette préoccupation.",L'article ne contient pas de faits concrets spécifiques à Safran,,
2776,33,regle_contre_consensus,4,0,0,0,1,1.0,-3.05,False,aucune,"Fait concret négatif spécifique à AXA : l'action recule de 3,05% après la publication de résultats financiers. L'article mentionne explicitement que les chiffres étaient supérieurs aux attentes MAIS ont été obscurcis par deux éléments négatifs concrets : le ralentissement de l'activité et le repli de la valeur des affaires nouvelles. Ces deux points constituent des faits concrets négatifs sur l'activité d'AXA justifiant la baisse du cours.","L'article mentionne une baisse de l'action AXA de 3,05% après la publication de ses résultats financiers à fin septembre, avec des chiffres supérieurs aux attentes mais obscurcis par le ralentissement de l'activité et le repli de la valeur des affaires nouvelles.",,
18239,21,regle_contre_consensus,8,0,0,0,1,1.0,,False,aucune,"Fait concret négatif spécifique à Capgemini : l'article mentionne que 'le géant de l'informatique envisageant de supprimer jusqu'à 2400 postes en France'. C'est une mauvaise nouvelle concrète concernant l'activité de l'entreprise (réduction d'effectifs majeure). La baisse du cours (-2,77%) en découle logiquement.",L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à Capgemini.,,
26106,13,regle_avec_consensus,6,1,1,1,1,1.0,,False,aucune,"L'article mentionne SOITEC uniquement dans un contexte de volumes d'échanges anormaux (augmentation de 93% par rapport aux 5 séances précédentes). Il s'agit d'une information purement technique de marché, sans aucun fait concret relatif à l'activité de l'entreprise (résultats, contrats, etc.). La baisse du cours de -2,44% est un mouvement de prix, pas une information sur l'activité. Aucun élément positif ou négatif spécifique à SOITEC n'est identifiable au-delà de ce signal technique neutre.","L'article mentionne une augmentation de 93% des échanges sur l'action Soitec Silicon par rapport aux cinq dernières séances, mais il n'y a pas de fait concret spécifique à SOITEC qui soit une bonne ou une mauvaise nouvelle.",,
23294,33,modele_contre_consensus,3,2,2,2,1,2.0,,False,amelioree,Fait concret positif spécifique à AXA : initiation de suivi par RBC Europe avec recommandation 'Outperform' (niveau haut) et objectif de cours de 48€ (28% au-dessus du cours actuel). L'analyste cite une transformation structurelle réussie avec amélioration sensible de la rentabilité et réduction de la volatilité. C'est une bonne nouvelle concrète pour AXA.,L'article mentionne AXA mais ne contient pas de faits concrets positifs ou négatifs spécifiques à l'entreprise.,,
9468,18,regle_contre_consensus,4,2,2,2,1,2.0,,False,aucune,"L'article contient plusieurs faits concrets positifs spécifiques à Safran : création d'un premier centre de R&T au Royaume-Uni (expansion stratégique), renforcement de la position de marché (3e acteur aéronautique au Royaume-Uni), intégration réussie d'une acquisition majeure (Collins Aerospace), et croissance de l'effectif et du chiffre d'affaires (5 500 collaborateurs, 1,5 milliard de livres sterling). Ces éléments constituent des bonnes nouvelles concrètes pour l'entreprise.","L'article mentionne la création d'un nouveau centre de recherche et technologie au Royaume-Uni par Safran, mais il n'y a pas de fait concret spécifique à Safran qui soit une bonne ou une mauvaise nouvelle.",,
15891,33,modele_contre_consensus,4,2,2,2,1,2.0,,False,amelioree,Deutsche Bank reprend la couverture du titre AXA à l'achat avec un objectif de cours de 45 euros. C'est un fait concret positif spécifique à AXA : une recommandation d'achat d'un analyste majeur constitue une bonne nouvelle pour le titre.,Aucun fait concret positif ou négatif identifiable pour AXA dans l'article.,,
4141,3,regle_contre_consensus,3,2,2,1,1,2.0,,False,aucune,"L'article mentionne un fait concret et spécifique positif pour ALSTOM : l'ouverture d'un nouvel atelier de révision et réparation à Crewe avec un investissement de plus de 2 millions de livres sterling, création de plus de 100 emplois qualifiés, doublement de la capacité HVAC (de 35 à 50 unités par semaine), et renforcement des capacités de service. Ces éléments constituent une bonne nouvelle pour l'activité et la stratégie d'expansion d'ALSTOM.","L'article mentionne l'ouverture d'un nouvel atelier de révision et de réparation de composants ferroviaires à Crewe (Royaume-Uni), fruit d'un investissement de plusieurs millions de livres sterling. Ce site comprend une zone dédiée aux systèmes de chauffage, ventilation et climatisation (HVAC) ainsi que des bureaux modernisés respectant le patrimoine industriel du site.",,
29967,2,modele_contre_consensus,4,0,0,0,1,0.0,,False,degradee,"Berenberg abaisse son objectif de cours de 210 euros à 190 euros pour Airbus. Bien que la recommandation elle-même ne soit pas explicitement dégradée (pas de passage d'acheter à conserver par exemple), la réduction significative de l'objectif de cours (-9,5%) constitue un signal négatif concret spécifique à Airbus. Cependant, sans dégradation formelle de la recommandation, le signal reste mitigé. En appliquant strictement les critères : une baisse d'objectif de cours sans dégradation de recommandation est un fait concret négatif mais modéré. La note 0 reflète ce signal négatif concret.",L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à Airbus.,,
3571,2,regle_contre_consensus,4,2,2,1,1,1.0,,False,aucune,"Airbus Defence and Space a livré son premier A400M à l'Indonésie, marquant une étape majeure dans la modernisation des capacités de transport militaire du pays. Il s'agit d'un fait concret positif spécifique à Airbus : une livraison réussie d'un produit stratégique à un client international, signalant la progression d'un programme majeur.",L'article ne contient pas de faits concrets spécifiques à Airbus qui soient positifs ou négatifs.,,
25974,15,regle_contre_consensus,3,2,2,2,1,2.0,4.0,False,aucune,"L'article contient plusieurs faits concrets positifs spécifiques à TotalEnergies : (1) hausse du cours de 4% à la Bourse de Paris après ouverture en hausse de près de 6% ; (2) contexte favorable explicite : l'envolée des prix du pétrole (Brent à 79,25$/baril, potentiellement vers 100$) bénéficie directement aux majors pétrolières ; (3) mention du 'point mort' de TotalEnergies à 25$/baril, montrant que la société est très profitable dans cet environnement de prix élevés ; (4) comparaison positive avec les pairs (BP +2,5%, Shell +3,5% à Londres). Ces éléments constituent des bonnes nouvelles concrètes pour l'activité et la valorisation de TotalEnergies.",L'article ne contient pas de fait concret spécifique et positif ou négatif concernant TotalEnergies. Il mentionne simplement que le cours de l'action a augmenté de 4% en raison de la hausse des prix du pétrole.,,
22001,3,regle_contre_consensus,7,2,2,2,1,2.0,,False,aucune,"L'article contient un fait concret positif spécifique à ALSTOM : la mise en service de 76 véhicules Flexity (LRV) sur la nouvelle ligne 5 Eglinton à Toronto, Canada, accompagnés d'un système de signalisation fourni par ALSTOM. Ceci représente une livraison réussie et une expansion du déploiement commercial des produits ALSTOM. Le contexte global (8 000 LRV commandés ou en service dans 140 villes) renforce cette bonne nouvelle.",L'article ne contient pas de faits concrets positifs ou négatifs spécifiques à Alstom.,,
27966,15,regle_contre_consensus,6,0,0,0,1,1.0,,False,aucune,"Fait concret négatif spécifique à TotalEnergies : l'article rapporte que TotalEnergies a engagé l'arrêt ou la fermeture progressive de certaines productions au Moyen-Orient (Qatar, Irak et offshore des Emirats arabes unis), représentant environ 15% de la production du groupe. Cette réduction de capacité de production est une mauvaise nouvelle concrète pour l'entreprise, motivée par la guerre au Moyen-Orient.",L'article mentionne TotalEnergies mais ne contient pas de faits concrets positifs ou négatifs spécifiques à l'entreprise.,,
21100,13,regle_contre_consensus,2,2,2,2,1,2.0,,False,aucune,"Soitec affiche un fait concret positif spécifique : amélioration séquentielle bien plus marquée que prévu, avec un chiffre d'affaires trimestriel de 160 MEUR en progression de 18% par rapport au trimestre précédent, porté par l'Edge & Cloud AI. Bien que le chiffre d'affaires soit en baisse de 29% sur un an, la progression séquentielle significative et supérieure aux attentes constitue une bonne nouvelle justifiant une note positive.","L'article mentionne une amélioration séquentielle bien plus marquée que prévu pour Soitec, mais il n'y a pas de fait concret spécifique à l'entreprise qui soit une bonne ou une mauvaise nouvelle.",,
16940,28,regle_contre_consensus,2,0,0,0,1,1.0,-4.01,False,aucune,"Saint-Gobain subit une baisse concrète et spécifique de -4,01% suite à une note défavorable de Bank of America qui annonce privilégier d'autres secteurs. C'est un fait concret négatif : dégradation de la note d'analyste (Bank of America) et impact négatif sur le titre.","L'article mentionne une baisse de 4,01% pour Saint-Gobain, ce qui est un fait concret et spécifique négatif.",,
272,19,regle_avec_consensus,2,1,1,1,1,1.0,,False,aucune,"Sanofi est mentionné une seule fois comme l'une des valeurs soutenant l'indice CAC40 (« l'indice phare reste soutenu par le luxe, Sanofi, Stellantis »). Il s'agit d'une simple citation factuelle sans information spécifique sur l'activité, les résultats ou les perspectives de l'entreprise. Aucun fait concret positif ou négatif n'est identifiable pour Sanofi. La mention s'inscrit dans un contexte de mouvement de marché général.",L'article ne contient pas de faits concrets spécifiques à Sanofi,,
11261,31,modele_contre_consensus,5,2,2,2,1,2.0,,True,maintenue,Fait concret positif spécifique à EXOSENS : signature d'un contrat majeur de 500 MEUR avec l'OCCAR pour 200k tubes intensificateurs d'image 16mm destinés aux forces armées allemandes. Ce contrat sécurise plus d'un tiers de la topline de la division Amplification sur 2027-29 et renforce la position de marché d'EXOSENS auprès des armées européennes. La recommandation d'Oddo BHF est maintenue à Surperformance avec un objectif de 57€.,Le contrat passé avec l'OCCAR devrait permettre d'accroître la part de marché d'Exosens auprès des armées européennes et sécurise plus d'un tiers de sa topline sur la période 2027-29. Oddo BHF confirme son conseil à Surperformance avec un objectif de 57 E.,,
