article_id,entreprise,prompt_version,statut,note_llm,justification,texte_extrait
21095,AIR LIQUIDE,v2,ok,2,"L'article mentionne que Air Liquide a progressé de 5,7% en raison de l'assouplissement potentiel du système d'échange de quotas d'émission par la Commission européenne. Cette information est un fait concret et spécifique à Air Liquide qui constitue une bonne nouvelle pour l'entreprise.","Rumeurs européennes sur le CO2, Paris s'envole, Wall Street hésite Fermeture  (Zonebourse.com) - La Bourse de Paris conclut la journée sur un gain de 1,01%, à 8 262 points, tirée par Air Liquide ( 5,7..."
21065,AIR LIQUIDE,v2,ok,2,"Air Liquide a signé la plus forte progression du jour (5,7%), ce qui est une bonne nouvelle pour l'entreprise.","(Zonebourse.com) - La  Bourse de Paris  conclut la journée sur un gain de 1,01%, à 8 262 points, tirée par  Air Liquide  ( 5,7%),  Renault  ( 5,1%) ou encore  Pernod Ricard  ( 5%). La séance a été agi..."
17053,AIR LIQUIDE,v2,ok,2,"Le texte mentionne que l'acquisition de DIG Airgas en Corée du Sud marque une étape importante et devrait contribuer plus tôt que prévu à la performance globale du groupe, ce qui est un fait concret positif pour Air Liquide.","Valeur défensive par excellence du CAC 40, Air Liquide continue d’évoluer dans un environnement contrasté, mêlant visibilité de long terme et pressions conjoncturelles à court terme. Le spécialiste de..."
16867,AIR LIQUIDE,v2,ok,2,"Le texte mentionne que l'acquisition de DIG Airgas en Corée du Sud marque une étape importante et devrait contribuer plus tôt que prévu à la performance globale du groupe, ce qui est un fait concret positif spécifique à Air Liquide.","Valeur défensive par excellence du CAC 40, Air Liquide continue d’évoluer dans un environnement contrasté, mêlant visibilité de long terme et pressions conjoncturelles à court terme. Le spécialiste de..."
16595,AIR LIQUIDE,v2,ok,1,"L'article mentionne l'ADR (American Depositary Shares) d'Air Liquide sans fournir de fait concret positif ou négatif spécifique à l'entreprise. Il ne s'agit que d'une information générale sur les ADR, donc la note est NEUTRAL.","Marché: Ces outils qui permettent de prédire l'évolution d'une action avant l'ouverture de la Bourse dimanche 11 janvier 2026 à 07h00  (BFM Bourse) - Plusieurs indicateurs, comme l'évolution d'une act..."
16063,AIR LIQUIDE,v2,ok,1,"L'article ne contient aucun fait concret positif ou négatif spécifique concernant Air Liquide. Il mentionne seulement que Bernstein a abaisse son objectif de cours, mais cela ne constitue pas une mauvaise nouvelle car il reste à surperformance.","Point recommandations des analystes:  Air Liquide, Argan, Carmila, Covivio, Dassault Aviation, Totalenergies, Unibail-Rodamco-Westfield jeudi  8 janvier 2026 à 08h59  (BFM Bourse) - Les analystes affi..."
15891,AIR LIQUIDE,v2,ok,1,"Les phrases concernant Air Liquide ne contiennent que des informations sur les recommandations d'analystes (Citi, Deutsche Bank) sans mention de faits concrets positifs ou négatifs spécifiques à l'entreprise.","Point recommandations des analystes:  Air Liquide, Arcelormittal, Axa, Bouygues, Kering, Rexel, Sodexo mercredi  7 janvier 2026 à 08h56  (BFM Bourse) - Les analystes affinent leurs recommandations ce ..."
14991,AIR LIQUIDE,v2,ok,1,"L'article ne contient aucun fait concret positif ou négatif spécifique à Air Liquide. Il se concentre sur des détails techniques de la modélisation financière et des performances sectorielles, sans apporter d'informations nouvelles ou significatives concernant l'état financier ou les perspectives de l'entreprise.","(AOF) -  Air Liquide  a compilé des éléments afin de faciliter la modélisation financière de ses résultats pour l’exercice 2025. Le spécialiste des gaz industriels, médicaux et technologiques a rappel..."
14741,AIR LIQUIDE,v2,ok,1,"Aucun fait concret positif ou négatif spécifique à Air Liquide n'est identifié. La mention de 'Air Liquide +2,13%' est neutre car elle ne contient aucun élément de nature positive ou négative concernant l'entreprise.","Cac 40: Le CAC 40 a pris 10,42% en 2025, une performance en demi-teinte mercredi 31 décembre 2025 à 14h07  (BFM Bourse) - L'indice parisien a clôturé la dernière séance de 2025 sur une baisse. Sur l'e..."
14566,AIR LIQUIDE,v2,ok,1,"L'article ne mentionne pas de fait concret spécifique à AIR LIQUIDE. Il parle plutôt du CAC40 et d'autres entreprises, sans apporter d'informations positives ou négatives sur AIR LIQUIDE.","CAC40: un début de séance dans le calme vers 8132Pts Ouverture  (Zonebourse.com) - Au lendemain d'un gain timide de 0,1%, la Bourse de Paris débute la séance dans le calme avec un CAC 40 en hausse de ..."
14564,AIR LIQUIDE,v2,ok,1,"L'article ne mentionne pas directement AIR LIQUIDE et se concentre sur le marché boursier en général, sans apporter de fait concret spécifique à l'entreprise. Les informations fournies sont des tendances générales du marché et ne concernent pas AIR LIQUIDE.","CAC40 : renoue avec les 8.150 malgré les taux, l'argent reprend 5% Mi-séance  (Zonebourse.com) - La Bourse de Paris tente de renouer avec ses meilleurs niveaux de décembre : le CAC 40 est maintenant e..."
14561,AIR LIQUIDE,v2,ok,1,"L'article ne mentionne pas de fait concret et spécifique concernant AIR LIQUIDE. Les informations fournies sont générales sur le marché boursier et les valeurs, sans aucune référence directe à l'entreprise.","CAC40 :  0,8%, record de l'E-Stoxx50, rebond de 5% de l'argent Pré-clôture  (Zonebourse.com) - La Bourse de Paris tente de finir l'année en beauté et le CAC ( 0,8% à 8.180) est en train de renouer ave..."
14560,AIR LIQUIDE,v2,ok,1,"L'article ne mentionne pas de fait concret et spécifique concernant AIR LIQUIDE. Les informations fournies sont générales sur le marché boursier et les statistiques, sans aucune référence directe à l'entreprise.","CAC40: franchit un seuil technique malgré des volumes restreints Fermeture  (Zonebourse.com) - La Bourse de Paris conclut la séance sur un gain de 0,69% à 8168 pts, à proximité de son plus haut du jou..."
14260,AIR LIQUIDE,v2,ok,1,"Le texte mentionne Air Liquide dans le contexte de son importance future au sein du CAC 40, en soulignant sa capacité à développer des énergies propres grâce à l'hydrogène. Cependant, il ne s'agit pas d'une information factuelle positive ou négative spécifique concernant Air Liquide.","Cac 40: Entrées de Dassault Aviation, Amundi ou Spie...  Voici à quoi pourrait ressembler la composition du CAC 40 en 2030 dimanche 28 décembre 2025 à 07h00  (BFM Bourse) - Depuis 1987, leCAC 40a eu d..."
10411,AIR LIQUIDE,v2,ok,2,"L'article mentionne que DZ Bank a émis une recommandation à l'Achat pour Air Liquide, assortie d'un objectif de cours de 210 euros, ce qui constitue un fait concret positif spécifique à l'entreprise.","(AOF) -  Air Liquide  (-1,01%, à 161,42 euros) recule malgré le soutien de DZ Bank, dont la recommandation sur l'action du groupe français est à l’Achat, assortie d’un objectif de cours de 210 euros. ..."
9905,AIR LIQUIDE,v2,ok,2,"L'article mentionne que Air Liquide va réaliser un investissement d'environ 25 millions d'euros pour moderniser son unité de séparation des gaz de l'air (ASU) à Yulin, dans la province du Shaanxi. De plus, la société a signé un accord avec Hyundai Motor Group afin de renforcer leur partenariat international et accélérer l'économie de l'hydrogène. Ces informations sont des faits concrets positifs spécifiques à Air Liquide, indiquant une activité d'investissement et de développement stratégique.","CAC 40: en hausse modeste avant la publication de l'indice PCE aux Etats-Unis Ouverture  (Zonebourse.com) - La Bourse de Paris progresse de 0,3% ce matin, autour des 8150 points, tirée par Edenred ( 2..."
9901,AIR LIQUIDE,v2,ok,2,"Air Liquide a annoncé un investissement d'environ 25 millions d'euros pour moderniser son unité de séparation des gaz de l'air (ASU) à Yulin, dans la province du Shaanxi. De plus, la société a signé un accord avec Hyundai Motor Group afin de renforcer leur partenariat international et accélérer l'économie de l'hydrogène. Ces informations sont des faits concrets positifs spécifiques à Air Liquide.","CAC40 : stagne vers 8.125,, semaine 'flat' ,le PCE US ne change rien Pré-clôture  (Zonebourse.com) - La Bourse de Paris continue de somnoler et le CAC40 grappille moins de 0,1% (autour des 8125 points..."
9899,AIR LIQUIDE,v2,ok,2,"L'article mentionne que Air Liquide va réaliser un investissement d'environ 25 millions d'euros pour moderniser son unité de séparation des gaz de l'air (ASU) à Yulin, dans la province du Shaanxi. De plus, la société a signé un accord avec Hyundai Motor Group afin de renforcer leur partenariat international et accélérer l'économie de l'hydrogène. Ces informations sont des faits concrets positifs spécifiques à Air Liquide.","CAC40 : finit la semaine en léger repli, cela plombe la semaine Pré-clôture  (Zonebourse.com) - La Bourse de Paris revient à la case départ le CAC40 (-0,1%) menace de repasser dans le rouge sous 8.120..."
9898,AIR LIQUIDE,v2,ok,2,"Air Liquide a annoncé un investissement d'environ 25 millions d'euros pour moderniser son unité de séparation des gaz de l'air (ASU) à Yulin, dans la province du Shaanxi. De plus, la société a signé un accord avec Hyundai Motor Group afin de renforcer leur partenariat international et accélérer l'économie de l'hydrogène. Ces informations sont des faits concrets positifs spécifiques à Air Liquide.","CAC 40: en repli symbolique après des statistiques US sans grande surprise Fermeture  (Zonebourse.com) - Après avoir grappillé un timide 0,5% à mi-séance, la Bourse de Paris conclut la journée sur un ..."
9875,AIR LIQUIDE,v2,ok,2,"L'article mentionne que Air Liquide va réaliser un investissement d'environ 25 millions d'euros pour moderniser son unité de séparation des gaz de l'air, ce qui est une bonne nouvelle pour l'entreprise. De plus, la société a signé un accord avec Hyundai Motor Group pour renforcer leur partenariat international et accélérer l'économie de l'hydrogène.","(Zonebourse.com) - La  Bourse de Paris  continue de somnoler et le CAC40 grappille moins de 0,1% (autour des 8125 points), tirée par  Edenred  ( 2,4%),  Saint-Gobain  ( 2,8%) et  Stellantis  ( 2,6%). ..."
9864,AIR LIQUIDE,v2,ok,2,"L'article mentionne que Air Liquide va réaliser un investissement d'environ 25 millions d'euros pour moderniser son unité de séparation des gaz de l'air et a signé un accord avec Hyundai Motor Group, ce qui sont des faits concrets positifs spécifiques à l'entreprise.","(Zonebourse.com) - La  Bourse de Paris  revient à la case départ le CAC40 (-0,1%) menace de repasser dans le rouge sous 8.120Pts. Fait assez remarquable, pas une seule des 5 séances de la semaine n'a ..."
9860,AIR LIQUIDE,v2,ok,1,"L'article mentionne un investissement d'environ 25 millions d'euros pour moderniser une unité de séparation des gaz de l'air (ASU) chez Air Liquide, mais ce fait n'est pas explicitement positif ou négatif. Il s'agit plutôt d'une information factuelle sur les investissements de la société.","(Zonebourse.com) - Après avoir grappillé un timide 0,5% à mi-séance, la  Bourse de Paris  conclut la journée sur un repli anecdotique de 0,09%, à 8114 points, partagée entre les hausses de  Saint-Goba..."
7359,AIR LIQUIDE,v2,ok,1,"L'article mentionne que Linde a abandonné la place allemande pour se consacrer à sa cotation sur le Nasdaq, mais il ne fournit aucun fait concret spécifique à Air Liquide. Il s'agit donc d'une simple citation non pertinente pour l'entreprise en question.","Nasdaq composite: Mattel, PepsiCo, Marriott... Pourquoi des groupes qui n'ont rien à voir avec la tech déboulent sur le Nasdaq samedi 22 novembre 2025 à 12h00  (BFM Bourse) - Jeudi, Walmart, le plus g..."
6318,AIR LIQUIDE,v2,ok,2,"L'article mentionne la mise en service de poids lourds alimentés à l'hydrogène par Air Liquide, qui est une bonne nouvelle car cela montre un engagement dans la transition énergétique et la réduction des émissions de CO2.","(Zonebourse.com) -  Air Liquide  annonce la mise en service de ses premiers poids lourds alimentés à l'hydrogène aux Pays-Bas.    Les deux premiers camions MAN hTGX, équipés de moteurs à combustion in..."
5562,AIR LIQUIDE,v2,ok,2,"Air Liquide fait part de la mise en service réussie de la première unité pilote au monde de craquage d'ammoniac à l'échelle industrielle, d'une capacité de conversion d'ammoniac en hydrogène de 30 tonnes par jour, dans le port d'Anvers-Bruges, en Belgique. Cette information est un fait concret et spécifique à Air Liquide qui constitue une bonne nouvelle pour l'entreprise.","CAC 40: poursuit son 'rally' vers des sommets inexplorés Ouverture  (Zonebourse.com) - La Bourse de Paris poursuit son envolée et gagne 0,5% à 8285 points, après avoir signé un nouveau record absolu q..."
5559,AIR LIQUIDE,v2,ok,2,"Air Liquide a annoncé la mise en service réussie de la première unité pilote au monde de craquage d'ammoniac à l'échelle industrielle, ce qui est une bonne nouvelle pour l'entreprise.","CAC40 : réduit ses gains mais reste largement leader en Europe Pré-clôture  (Zonebourse.com) - La Bourse de Paris a inscrit ce midi un nouveau doublé record, avec un CAC40 à 8.314Pts et un CAC 'GR à 2..."
5558,AIR LIQUIDE,v2,ok,2,"Air Liquide a annoncé la mise en service réussie de la première unité pilote au monde de craquage d'ammoniac à l'échelle industrielle, avec une capacité de conversion d'ammoniac en hydrogène de 30 tonnes par jour. C'est un fait concret et spécifique qui constitue une bonne nouvelle pour l'entreprise.","CAC40 : dans le rouge après un nouveau record à 8.314, le Nasdaq pèse Pré-clôture  (Zonebourse.com) - Cette séance de jeudi restera historique même si la bourse de Paris inverse la vapeur (-0,1% vers ..."
5557,AIR LIQUIDE,v2,ok,2,"La phrase mentionne que Air Liquide a mis en service avec succès la première unité pilote au monde de craquage d'ammoniac à l'échelle industrielle, ce qui est une bonne nouvelle pour l'entreprise.","CAC 40: termine en légère baisse après avoir signé un nouveau record Fermeture  (Zonebourse.com) - Après une matinée en fanfare qui lui a permis de signer un nouveau record historique, à 8314 points (..."
5403,AIR LIQUIDE,v2,ok,1,"L'article ne contient aucun fait concret positif ou négatif spécifique concernant Air Liquide. Il mentionne seulement que Barclays a ajusté sa cible pour l'entreprise, mais sans préciser si cette modification est positive ou négative.","Point recommandations des analystes: Air Liquide, Euronext, Arkema, Legrand mercredi 12 novembre 2025 à 08h50  (BFM Bourse) - Les analystes affinent leurs conseils surAir Liquide, Euronext,Arkema,Legr..."
3773,AIR LIQUIDE,v2,ok,1,"L'article mentionne que Air Liquide a terminé la séance en hausse de 0,7%, mais aucun fait concret positif ou négatif spécifique à l'entreprise n'est identifié. La phrase ne contient donc qu'une simple citation du mouvement de marché sans information pertinente sur l'entreprise elle-même.","CAC 40: efface une partie de ses pertes mais reste nettement en rouge Fermeture  (Zonebourse.com) - Après avoir lâché jusqu'à près de 1,8% en fin de matinée (vers 7965 points), la Bourse de Paris est ..."
3738,AIR LIQUIDE,v2,ok,1,"L'article mentionne simplement que Air Liquide est parmi les cinq valeurs qui terminent en vert à Paris, sans fournir de fait concret positif ou négatif spécifique à l'entreprise.","(Zonebourse.com) - Après avoir lâché jusqu'à près de 1,8% en fin de matinée (vers 7965 points), la  Bourse de Paris  est parvenue à effacer une partie de ses pertes au fil de l'après-midi : au gong fi..."
2851,AIR LIQUIDE,v2,ok,2,"Air Liquide a dépassé les attentes des analystes avec une croissance de 1,9% au troisième trimestre en données comparables, et la société a confirmé ses perspectives pour l'avenir.","Air liquide: Valeur phare des petits porteurs, Air Liquide surpasse les attentes et grimpe en Bourse mardi 28 octobre 2025 à 16h51  (BFM Bourse) - Le spécialiste des gaz industriels a livré une croiss..."
2850,AIR LIQUIDE,v2,ok,2,"Air Liquide a gagné 0,9% après avoir aussi surpassé les attentes au troisième trimestre, et confirmé ses perspectives annuelles. Ce fait concret positif spécifique à Air Liquide justifie une note de 2.","Cac 40: Lesté par la publication décevante de BNP Paribas, le CAC 40 marque le pas mardi 28 octobre 2025 à 17h47  (BFM Bourse) - L'indice parisien clôture cette séance du mardi 28 octobre en légère ba..."
2848,AIR LIQUIDE,v2,ok,2,"Deutsche Bank a rehaussé son objectif de cours d'Air Liquide à 208 euros contre 190 euros, ce qui constitue un fait concret et spécifique positif pour l'entreprise.","Point recommandations des analystes: Sodexo, Eurofins, Air Liquide mercredi 29 octobre 2025 à 08h45  (BFM Bourse) - Les analystes affinent leurs conseils surSodexo, Eurofins,Air Liquide.  Sodexo (cour..."
2847,AIR LIQUIDE,v2,ok,2,Air Liquide augmente de 2% son CA trimestriel en comparable. Cette hausse de chiffre d'affaires est un fait concret et positif spécifique à Air Liquide.,"Cac 40: L’indice parisien a ouvert la séance en baisse de -0.22% mercredi 29 octobre 2025 à 09h00  (BFM Bourse) - Après avoir fini en baisse de -0.27% à 8216.5801 points lors de sa dernière séance, le..."
2789,AIR LIQUIDE,v2,ok,1,"Aucun fait concret positif ou négatif spécifique à Air Liquide n'est identifié. La mention de la baisse (-2,1%) d'Air Liquide est le seul élément pertinent mais ne constitue pas un fait concret qui soit une bonne ou mauvaise nouvelle.","CAC40 : 8ème séance de stagnation vers 8.200, W-Street dopé par Nvidia Pré-clôture  (Zonebourse.com) - La lourdeur l'emporte à la Bourse de Paris qui s'effrite de -0,2% et revient au contact des 8200,..."
2788,AIR LIQUIDE,v2,ok,0,"Air Liquide est mentionné comme pénalisant le CAC 40 avec une baisse de 2,4%, mais aucun fait concret positif ou négatif spécifique à l'entreprise n'est identifié. La phrase ne contient que des informations sur la performance boursière de l'entreprise sans détails pertinents.","CAC 40: apathique tandis que New York atteint de nouveaux sommets Fermeture  (Zonebourse.com) - La Bourse de Paris conclut la séance sur un repli de 0,19%, à 8200 points, pénalisée par Thales et Air L..."
2704,AIR LIQUIDE,v2,ok,2,"La phrase 'Au troisième trimestre 2025, le chiffre d’affaires a atteint environ 6,6 milliards d’euros, en hausse de +1,9 % à données comparables' mentionne une bonne nouvelle spécifique à Air Liquide (hausse du chiffre d'affaires).","Le groupe Air Liquide, leader mondial des gaz industriels et des services à l’industrie et à la santé, évolue dans un environnement exigeant marqué par des incertitudes macroéconomiques, des effets de..."
2016,AIR LIQUIDE,v2,ok,1,L'article mentionne la date de publication des résultats pour Air Liquide mais ne fournit aucun fait concret positif ou négatif spécifique à l'entreprise. Il s'agit donc d'une information factuelle sans contenu pertinents pour évaluer le sentiment.,Cac 40: Quel est le calendrier des groupes du CAC 40 pour leurs publications du troisième trimestre? dimanche 12 octobre 2025 à 12h00  (BFM Bourse) - Quand les pensionnaires de l'indice principal de l...
16,AIR LIQUIDE,v2,ok,2,"La phrase 'Air Liquide dévoile une nouvelle fois une performance très solide au premier semestre 2025' mentionne explicitement des résultats positifs pour Air Liquide, incluant un chiffre d'affaires et un résultat opérationnel courant en hausse ainsi qu'une marge opérationnelle améliorée. Ces informations sont concrètes et spécifiques à l'entreprise.","Air Liquide dévoile une nouvelle fois une performance très solide au premier semestre 2025. Dans le détail, le chiffre d’affaires s’est accru de 2,6 %, atteignant 13,722 milliards d’euros. Le résultat..."
29967,AIRBUS,v2,ok,0,"Berenberg a abaissé son objectif de cours d'Airbus de 210 euros à 190 euros, ce qui constitue un fait concret négatif spécifique à Airbus.","Point recommandations des analystes: Teleperformance, Airbus, Renault mardi 24 mars 2026 à 09916  (BFM Bourse) - Les analystes affinent leurs conseils ce mardi surTeleperformance,Airbus,Renault.  Tele..."
29947,AIRBUS,v2,ok,1,"L'article mentionne Airbus dans le contexte des mouvements boursiers, mais ne fournit aucun fait concret positif ou négatif spécifique à l'entreprise. Les seules informations concernant Airbus sont que la valeur a fermé en baisse de 1,9%, sans plus de détails sur les raisons de cette baisse.","Les marchés se contractent, victimes du brouillard géopolitique Ouverture  (Zonebourse.com) - Les principales places boursières européennes sont en repli ce matin, sur fond de grande confusion autour ..."
29765,AIRBUS,v2,ok,2,"L'article mentionne que Airbus a annoncé un accord définitif pour l'acquisition d'Ultra Cyber Ltd, ce qui est une bonne nouvelle pour l'entreprise.","Du rouge au vert : quand Trump retourne les marchés en un message Fermeture  (Zonebourse.com) - Début de semaine mouvementé pour les investisseurs ! Jusqu'à mi-séance, les principales bourses européen..."
28533,AIRBUS,v2,ok,0,"Jefferies a abaisse sa cible d'Airbus à 190 euros contre 195 euros, ce qui constitue un fait concret négatif pour l'entreprise.","Point recommandations des analystes: Totalenergies, Airbus, Safran, Verallia lundi 16 mars 2026 à 08853  (BFM Bourse) - Les analystes affinent leurs conseils ce lundi 16 mars surTotalenergies, Veralli..."
28531,AIRBUS,v2,ok,1,"L'article ne contient aucun fait concret positif ou négatif spécifique à Airbus. Il présente des opinions et des perspectives sur le cours de l'action d'Airbus, mais sans informations factuelles spécifiques concernant l'entreprise elle-même.","Airbus group: En baisse de près de 15% depuis le début de l'année, Airbus a-t-il trop souffert en Bourse au vu de ses perspectives (prometteuses) de long terme? lundi 16 mars 2026 à 111154  (BFM Bours..."
27470,AIRBUS,v2,ok,2,"La banque américaine Citi a relevé son conseil à l'achat sur le groupe d'aéronautique et de défense Airbus, citant plusieurs raisons positives comme une accélération des livraisons, la hausse de la rentabilité de la défense et les répercussions favorables du conflit au Moyen-Orient.","Airbus group: Malgré ses impairs dans la montée en cadence de la production, Citi voit l'action Airbus prendre plus de 20% grâce à la défense, au dollar et (paradoxalement) au conflit au Moyen-Orient ..."
27233,AIRBUS,v2,ok,0,"La phrase mentionne Airbus dans le contexte d'une baisse de 2,3% en raison de la remontée du pétrole. Cependant, il n'y a pas de fait concret spécifique à Airbus qui soit une mauvaise nouvelle.","Les bombes tombent, l'or noir grimpe et les marchés chutent Mi-séance  (Zonebourse.com) - Les marchés européens reculent nettement ce matin alors que l'escalade militaire au Moyen-Orient propulse le p..."
26527,AIRBUS,v2,ok,2,"Citi a relevé son conseil d'Airbus à l'achat contre neutre, ce qui constitue un fait concret et spécifique positif pour l'entreprise.","Point recommandations des analystes: Kering, Airbus, TF1 jeudi 5 mars 2026 à 09933  (BFM Bourse) - Les analystes affinent leurs conseils surKering,Airbus,TF1.  Kering (cours à 256,9 euros):Bernstein r..."
26526,AIRBUS,v2,ok,2,"La banque américaine Citi a relevé son conseil à l'achat sur le groupe d'aéronautique et de défense, citant plusieurs raisons dont une accélération des livraisons, la hausse de la rentabilité de la défense et les répercussions positives du conflit au Moyen-Orient.","Airbus group: Malgré ses impairs dans la montée en cadence de la production, Citi voit l'action Airbus prendre plus de 20% grâce à la défense, au dollar et (paradoxalement) au conflit au Moyen-Orient ..."
26504,AIRBUS,v2,ok,2,"La recommandation relevée de 'neutre' à 'achat' par Citi, accompagnée d'un relèvement de l'objectif de cours et d'une prédiction de production accrue pour Airbus, constitue un fait concret positif spécifique à l'entreprise.","Les marchés européens prolongent leur rebond, le Moyen-Orient et l'énergie sous surveillance Ouverture  (Zonebourse.com) - Les marchés européens prolongent leur rebond ce matin après les turbulences p..."
26501,AIRBUS,v2,ok,2,"Citi a relevé sa recommandation de neutre à achat et porté son objectif de cours de 217 EUR, ce qui constitue un fait concret positif spécifique à Airbus.","Repli des marchés boursiers européens sur fond de poursuite de l'escalade militaire au Moyen-Orient Fermeture  (Zonebourse.com) - Après avoir connu un rebond hier, la Bourse de Paris est retombée dans..."
26344,AIRBUS,v2,ok,1,"Le texte ne contient aucun fait concret positif ou négatif spécifique à Airbus. Bien que mentionné, Airbus est principalement critiqué par le PDG de Dassault Aviation pour des différends sur un programme militaire, sans apporter d'informations concrètes sur l'entreprise elle-même.","Dassault aviation: Bénéfices supérieurs aux attentes, hausse des livraisons de Falcon attendue, campagnes Rafale… Dassault Aviation bondit de 5% en Bourse et prend 27% en 2026 mercredi 4 mars 2026 à 1..."
25974,AIRBUS,v2,ok,0,"L'article mentionne que le conflit au Moyen-Orient pourrait perturber les vols dans la région, ce qui est un fait concret négatif pour Air France-KLM. Cependant, il ne fournit pas d'informations spécifiques sur l'état financier ou la situation opérationnelle directe d'AIRBUS.","Accor: Totalenergies et Thales grimpent, Air France-KLM et Accor plongent… Voici les groupes qui réagissent le plus en Bourse à l'embrasement du conflit au Moyen-Orient lundi  2 mars 2026 à 12h11  (BF..."
24104,AIRBUS,v2,ok,1,"Les phrases concernant Airbus ne contiennent que des informations sur les ajustements de cibles par des analystes, sans indication de résultats concrets ou d'événements spécifiques positifs ou négatifs pour l'entreprise.","Point recommandations des analystes: Airbus, FDJ United, Renault, Accor vendredi 20 février 2026 à 08h48  (BFM Bourse) - Les analystes affinent leurs conseils surAirbus, FDJ United,Renault,Accor.  Air..."
23917,AIRBUS,v2,ok,0,"Airbus a abaisse ses perspectives de production et dévoile un objectif de livraisons décevant pour 2026, en raison des problèmes d'approvisionnement de moteurs. L'action a chuté de 5%.","Airbus group: En difficulté sur l'approvisionnement de moteurs, Airbus abaisse ses perspectives de production et dévoile un objectif de livraisons décevant (bien que record) pour 2026, l'action chute ..."
